"cntry","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","ppltrst","pplfair","pplhlp","trstprl","trstlgl","trstplc","trstplt","trstprt","psppsgva","actrolga","psppipla","cptppola","polintr"
"AT",0,0,0,0,0,0,0,0,0,0,7,6,6,7,7,8,5,5,3,2,3,2,3
"AT",0,0,0,0,0,0,0,0,0,0,1,4,2,10,10,9,8,9,3,3,2,2,3
"AT",0,0,0,0,0,0,0,0,0,1,6,6,6,1,1,3,2,1,1,4,1,4,1
"AT",0,0,0,0,0,0,0,0,0,0,7,8,7,7,8,9,8,8,3,3,3,3,3
"AT",0,0,0,0,0,0,0,0,0,0,7,7,7,2,2,3,3,2,3,1,3,1,2
"AT",0,0,0,0,0,0,0,0,0,0,5,5,6,0,2,5,1,1,1,8,1,5,3
"AT",0,0,0,0,0,0,0,0,0,0,7,7,9,5,2,5,2,2,2,3,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,5,6,6,3,3,3,1,3,2,2,2,1,1
"AT",0,0,0,0,0,0,0,0,0,0,10,10,3,1,1,1,1,1,1,1,1,3,1
"AT",0,0,0,0,0,0,0,0,0,0,9,8,8,88,8,10,88,88,1,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,10,10,7,7,7,5,5,5,3,5,3,5,1
"AT",0,0,0,0,0,0,0,0,0,0,6,7,6,7,8,9,5,4,3,4,3,5,1
"AT",0,0,0,0,0,0,0,0,0,0,7,7,8,6,6,7,4,5,2,2,2,2,2
"AT",0,0,0,0,0,0,0,0,0,0,7,7,6,5,4,4,3,3,3,2,3,1,3
"AT",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,2,1,3,4
"AT",0,0,0,0,0,0,0,0,0,0,7,8,7,5,7,8,4,4,1,2,2,2,3
"AT",0,0,0,0,0,0,0,0,0,0,10,10,5,6,10,10,0,0,1,1,1,1,4
"AT",0,0,0,0,0,0,0,0,0,0,8,7,8,7,9,9,5,5,4,2,1,2,3
